hex9,value
89196b86ca3ffff,6174
8919694a893ffff,8391
89196ba74bbffff,229
891969791abffff,4529
89196b33513ffff,1926
89196bac0d7ffff,8716
89196bb4e63ffff,870
89196baa4c3ffff,7968
89196ba6d8fffff,4100
89196ba1d23ffff,4294
89196baf263ffff,945
89196969cb7ffff,4132
89196ba90afffff,3437
89196b1680bffff,7102
89196baf46bffff,723
89196bba1dbffff,4512
8919696b677ffff,4893
89196bb6e23ffff,42
89196b85d0fffff,2975
89196969a33ffff,4729
8919694039bffff,5417
89196bba417ffff,5614
89196bb7107ffff,4556
89196bad5afffff,9419
89196b16e47ffff,7629
89196bae077ffff,8121
89196bb4447ffff,3581
891969613cfffff,7484
89196b85c4bffff,147
89196ba5467ffff,395
891969414d3ffff,2402
89196bbb547ffff,3842
89196bb00a3ffff,6070
89196b0696bffff,911
89196ba9977ffff,9302
8919694a927ffff,2271
89196941127ffff,4532
89196ba6517ffff,346
89196948eb7ffff,3578
89196bb65cbffff,7904
89196bb40dbffff,9219
89196b04edbffff,9089
89196b85dbbffff,5627
89196b86023ffff,4386
89196baec6fffff,4570
89196bb1e6fffff,8213
8919694d60bffff,3458
891969683a7ffff,9566
89196bb412bffff,8989
89196b36647ffff,9485
89196bac193ffff,8716
89196b32eafffff,1524
89196ba10b7ffff,73
89196968387ffff,6797
89196baf59bffff,5
89196963247ffff,3857
89196b85c53ffff,1410
89196baf077ffff,837
89196ba64c3ffff,1824
8919696a3dbffff,9870
89196949933ffff,568
89196bb1e53ffff,2703
89196bbb137ffff,3389
89196969017ffff,6467
8919697b393ffff,5632
8919694a147ffff,9883
89196ba834fffff,9375
89196ba6393ffff,9650
89196ba6c43ffff,9446
89196b065b7ffff,6595
89196ba086fffff,9047
89196ba6b57ffff,6086
89196b32e33ffff,2408
891969488a3ffff,7910
89196ba444bffff,139
89196bb26c7ffff,4681
89196979187ffff,6937
89196979e7bffff,720
89196bba69bffff,8389
89196bac82bffff,1536
89196b32a53ffff,9679
89196b3354bffff,2340
89196bb5947ffff,9032
89196959b17ffff,4431
89196b873a7ffff,7986
89196ba2acbffff,915
89196ba127bffff,5421
89196bb2437ffff,6012
89196bb5883ffff,1575
89196ba0483ffff,6360
89196bb368fffff,2702
89196978c6fffff,1788
89196bb2467ffff,6096
89196ba137bffff,4766
89196b3281bffff,8187
8919694a66bffff,9485
89196969db3ffff,6744
89196ba1287ffff,2071
89196bb9e2bffff,478
89196ba4babffff,2854
8919694838fffff,8867
89196ba9ccbffff,7074
89196bbb537ffff,5401
89196bbb24fffff,2539
89196941477ffff,8169
89196badd0fffff,6737
89196b06acfffff,2988
89196ba1d53ffff,85
89196ba5c37ffff,6653
8919694d22bffff,6735
89196b141d7ffff,9389
89196b145c3ffff,5956
89196bb0cabffff,8286
89196961187ffff,6126
89196bb2d2bffff,512
89196943143ffff,3011
89196979c83ffff,1228
89196ba7237ffff,2542
89196b86e83ffff,4279
8919695930fffff,4853
89196bab1b3ffff,2370
89196badd8fffff,1202
8919694aa4fffff,9230
89196979e73ffff,7181
89196b1465bffff,9957
89196ba5dcfffff,4140
89196979c53ffff,1296
89196b3046bffff,4182
891fa497483ffff,1709
89196ba8a67ffff,3945
89196b36607ffff,7145
89196bad613ffff,5960
89196bba5d7ffff,2945
8919694c007ffff,3233
89196ba808bffff,9623
89196ba569bffff,7797
89196b3a6c3ffff,6843
89196940c6bffff,8343
8919697a9a3ffff,3693
8919694b6b7ffff,1417
89196bb59d7ffff,5258
89196ba1a33ffff,5136
89196b06d37ffff,446
89196949ecbffff,8002
89196bb6527ffff,8830
8919694c1d7ffff,2203
89196941b43ffff,2781
89196bb363bffff,3348
89196b1443bffff,1043
89196bb231bffff,3266
89196bb162fffff,1940
89196bb458bffff,9541
89196b94e43ffff,8228
89196ba5e1bffff,620
89196b94e23ffff,5873
89196bb805bffff,2195
89196ba984fffff,603
89196bae5dbffff,3860
89196b05dabffff,4630
8919696804fffff,150
89196ba288fffff,8911
89196b0e927ffff,2475
89196979b63ffff,4023
89196ba5a7bffff,3887
89196ba0473ffff,1168
8919696ac6bffff,356
8919694857bffff,7565
89196b94c0fffff,5875
89196b37493ffff,8360
89196ba0e7bffff,6218
89196bbb153ffff,4359
89196b84cafffff,2879
89196bb5853ffff,3375
89196bb4c93ffff,1353
89196bb5053ffff,8135
89196b05843ffff,3238
89196949c4bffff,9506
89196bb3553ffff,524
89196959a73ffff,3716
8919694c383ffff,6979
89196ba5203ffff,1063
8919697933bffff,3567
8919696a0d7ffff,5073
89196962073ffff,8219
89196ba8d2fffff,4564
8919694189bffff,9569
89196bbae13ffff,9429
89196baa233ffff,7324
89196b868b3ffff,4161
89196ba6dc3ffff,6901
89196bb58a3ffff,4301
89196979377ffff,6077
89196bba173ffff,7020
8919694d277ffff,8715
89196ba1a47ffff,1481
8919696999bffff,6669
89196bb948bffff,1998
89196bb4dcfffff,224
89196baab63ffff,6711
89196bb6283ffff,1789
89196948167ffff,6256
89196baeb57ffff,8342
89196ba880bffff,2668
89196ba6117ffff,353
89196ba6ab3ffff,1593
89196959b07ffff,170
89196b965b3ffff,3092
89196bb5ad7ffff,4793
89196bb8abbffff,2329
8919694c44bffff,8654
89196bab2dbffff,2087
89196baa47bffff,9956
891969480cbffff,7922
89196bb1d5bffff,3799
89196ba7073ffff,9349
89196baa46fffff,6644
89196b96a23ffff,7687
89196bb81c3ffff,2662
89196bb1153ffff,3279
89196949613ffff,4819
8919694b293ffff,7455
89196b84cc7ffff,7237
89196959407ffff,1911
89196bb5697ffff,5057
8919694ec5bffff,9287
891969405cbffff,2676
89196b32183ffff,4555
89196b3266bffff,1988
89196bae363ffff,7947
89196979e0bffff,1828
8919696a0c7ffff,5369
89196bb26a7ffff,1821
8919694c397ffff,618
89196b3232fffff,5535
891fa49249bffff,7196
89196bb0abbffff,8293
89196b964a7ffff,110
89196bb4a97ffff,8449
891969402cbffff,4891
89196969853ffff,4962
89196bb333bffff,1863
89196ba1eabffff,5671
89196ba0287ffff,9451
89196bb2dd7ffff,3960
89196baf19bffff,8177
89196b94927ffff,4747
89196bae21bffff,8920
89196b04567ffff,2881
8919694d327ffff,194
89196b8600bffff,8137
89196baa803ffff,1127
89196bb99c3ffff,8791
89196959503ffff,5029
89196969493ffff,4163
89196948c87ffff,6085
89196b85d17ffff,9920
89196b8464fffff,3278
891969453abffff,3429
89196b165abffff,6661
89196b16d0bffff,5885
89196bb6673ffff,7399
89196ba0cb3ffff,8108
8919694131bffff,6528
89196bb5e87ffff,2391
89196949a4fffff,4055
89196bb8e2fffff,6937
89196bb85c7ffff,8504
89196ba8927ffff,3809
89196ba0a7bffff,752
89196969a0bffff,6729
89196b159a3ffff,5743
89196badd37ffff,9744
89196ba4563ffff,6802
8919695900bffff,4512
89196badbbbffff,1129
89196948acfffff,9915
8919694dbafffff,5696
89196bba377ffff,943
8919696acd7ffff,8728
89196963577ffff,7913
89196979c17ffff,2685
89196bb0d1bffff,7441
89196ba660fffff,6000
8919694b18bffff,3252
8919694c0a7ffff,7717
89196bb5cd3ffff,411
89196978c77ffff,582
89196b845cfffff,4562
89196baac6fffff,2250
89196bad573ffff,2065
89196b335a7ffff,6625
89196bb7387ffff,8395
89196bb6a27ffff,2442
89196ba5003ffff,6648
89196969a73ffff,5565
89196b1469bffff,6281
89196b9487bffff,1452
89196b3215bffff,3035
89196bba9cbffff,4207
89196bae01bffff,7647
89196ba040bffff,1436
8919696924fffff,6417
8919694d47bffff,1669
8919694d5dbffff,3887
89196bb9973ffff,3868
89196969db7ffff,2967
89196bace8fffff,5475
89196ba5ecfffff,7321
89196bbb1bbffff,4775
89196b05c03ffff,5152
89196baf117ffff,6146
89196b84557ffff,4772
89196969c8bffff,6306
891969605abffff,7107
89196bb02b7ffff,2098
89196ba3057ffff,4295
8919695900fffff,5317
8919694db0fffff,8469
89196bb831bffff,6868
89196b30447ffff,5930
89196ba8cb7ffff,251
89196bac8a3ffff,3526
89196b841afffff,5240
89196ba4073ffff,5226
89196bb4307ffff,9166
8919696b4a7ffff,8924
89196941e13ffff,7273
8919694056fffff,5179
891fa496c17ffff,148
89196ba246fffff,8976
89196b14457ffff,3865
89196b94ab7ffff,3920
8919694c2c7ffff,1086
89196ba166bffff,8465
89196968687ffff,4133
89196bad44bffff,4080
89196ba34bbffff,5310
89196ba9e4fffff,7075
89196bb8167ffff,4026
89196bab2abffff,1716
89196b05cdbffff,7626
8919695932fffff,9523
891969605c3ffff,285
89196bb80a3ffff,6990
89196949a2fffff,9344
89196b30483ffff,613
89196bb160fffff,798
8919694a227ffff,2735
89196bae303ffff,4265
89196bb54b7ffff,5352
89196978263ffff,6092
89196941e4bffff,7386
89196ba63c3ffff,9822
8919694c187ffff,8041
89196969a27ffff,7987
8919697b323ffff,8273
89196ba0873ffff,3265
89196bb606fffff,5526
89196b86573ffff,9642
89196bac40fffff,8067
89196b85817ffff,8582
89196948e5bffff,8603
8919696917bffff,2437
89196979b0bffff,5492
89196ba700fffff,3738
89196b8645bffff,1854
89196ba53d7ffff,734
89196bac257ffff,4585
89196b94937ffff,8755
89196b041a7ffff,6976
89196ba54c7ffff,1038
89196b96413ffff,8544
89196b165d3ffff,1024
89196bac287ffff,9197
89196b06b5bffff,2821
89196b94593ffff,1779
89196948e67ffff,1984
89196bb4227ffff,8926
89196b04da3ffff,7921
89196bae48bffff,9839
8919697b0a3ffff,1371
89196bad65bffff,8510
89196b8436fffff,6781
891fa496d93ffff,8150
89196bad2c7ffff,8283
8919694a533ffff,542
89196bb517bffff,9665
89196bb4217ffff,3769
89196ba521bffff,7078
89196b96937ffff,4711
8919696b28fffff,7406
8919694029bffff,4637
891969594dbffff,8054
89196b84063ffff,9054
89196bba453ffff,4632
89196b32a43ffff,1584
89196b0edb7ffff,2539
89196bb7187ffff,5360
8919697b143ffff,814
89196942a63ffff,8396
89196969e63ffff,7518
89196958937ffff,2575
891969488bbffff,5551
89196bb2a53ffff,7224
89196bb5c83ffff,6944
89196b14d27ffff,9760
89196b3302fffff,7882
89196b86b0fffff,6678
89196b8eda7ffff,4003
89196ba4377ffff,6651
89196b944a7ffff,1205
89196baf28bffff,3722
89196bb6a1bffff,5082
89196ba10b7ffff,1969
89196969863ffff,1797
89196949a83ffff,6103
89196bb4533ffff,286
89196baa81bffff,438
89196bb5597ffff,4022
89196baf0bbffff,3059
89196b869d7ffff,1122
89196ba9083ffff,4345
8919696264bffff,5227
8919694d41bffff,3282
89196ba4273ffff,9016
89196ba831bffff,2125
891969632bbffff,9072
89196bad12fffff,2409
891969431c3ffff,2269
89196bb08d3ffff,8097
89196942e2fffff,3409
89196bb6a97ffff,6631
89196bb2dd3ffff,6120
89196b3a643ffff,6844
8919696a0afffff,3479
89196bb51afffff,784
89196ba66c3ffff,1617
89196b961d3ffff,6725
89196b16c17ffff,7181
89196b14b0fffff,1329
89196b06e2fffff,1039
89196b8c92fffff,4773
89196ba5603ffff,347
89196b840dbffff,9793
89196962a47ffff,8572
8919694854bffff,1692
89196941b4bffff,105
89196ba0817ffff,2233
89196b32e9bffff,882
89196bb5493ffff,3963
89196b04d0bffff,1584
8919694826bffff,6361
89196ba443bffff,4192
89196968313ffff,1244
89196bb8247ffff,6063
89196b160cbffff,5728
891969795c3ffff,8296
8919694c287ffff,3984
8919694dac7ffff,8227
8919694d367ffff,9702
89196ba6307ffff,5043
89196940647ffff,5879
89196941bafffff,3003
89196bb2cd7ffff,7143
89196ba70b3ffff,5619
89196ba4147ffff,4272
89196961533ffff,7391
8919695904fffff,9918
8919694e4bbffff,8772
8919694314bffff,997
89196b04e4bffff,7644
89196968a4bffff,7618
891969782dbffff,1037
89196baed6bffff,1362
89196ba5d5bffff,9937
89196bb2a77ffff,7613
8919694c033ffff,9441
89196b1403bffff,2535
891fa49604bffff,9629
891969691afffff,8473
89196bb236bffff,4555
89196ba5553ffff,9163
89196bb1597ffff,6205
8919694cb13ffff,4899
891969699c3ffff,2456
89196baf60bffff,5590
89196bba86fffff,4895
89196bb64cfffff,8765
8919694e03bffff,9061
89196978a6bffff,4527
891969405d3ffff,8238
8919696a3dbffff,6322
8919696a48fffff,7564
89196b14123ffff,9566
89196b32327ffff,173
89196b94cabffff,7252
89196bae587ffff,6550
89196bae19bffff,5544
89196ba496bffff,945
89196bacd37ffff,2899
89196b94807ffff,3081
89196b1499bffff,6567
89196ba21a7ffff,301
89196ba6857ffff,1265
89196bad66fffff,4506
89196b85857ffff,1329
8919694282fffff,5491
89196b8481bffff,2277
89196bab1c3ffff,2356
89196949b6fffff,5348
89196b85e0bffff,124
8919694f657ffff,8610
89196bb1217ffff,227
89196bb638fffff,9857
89196bb980fffff,6423
89196bb59afffff,8585
89196baa43bffff,5834
89196bb98afffff,3071
89196ba8517ffff,5096
89196bb88a7ffff,8064
89196b3232bffff,1156
89196b959b3ffff,6374
8919697932bffff,4166
89196bb2c8bffff,1029
8919696a61bffff,6976
89196bac10fffff,7489
8919694857bffff,5890
89196baeb8fffff,2150
8919696b007ffff,4119
89196ba667bffff,3706
89196b0680fffff,6072
89196bb299bffff,6541
89196979e9bffff,8376
89196bae647ffff,4795
8919694dd83ffff,472
89196b06c67ffff,7903
89196ba4b07ffff,152
89196ba146bffff,1451
89196baa62bffff,1618
89196bb708fffff,3784
89196bb0a4fffff,6388
89196b16d23ffff,8739
891fa49250fffff,6724
8919694daa3ffff,9420
89196968247ffff,5730
89196b86247ffff,156
8919696ad0bffff,2156
89196baf163ffff,8522
89196ba6a4bffff,5983
89196ba5ea7ffff,1098
8919696b6dbffff,4052
89196962a4bffff,2437
8919696a537ffff,6247
8919696936bffff,7294
89196bac8b7ffff,811
89196bb224bffff,5280
89196b9694bffff,5354
89196ba060fffff,3885
89196bab183ffff,7921
89196ba04c7ffff,2720
89196b84367ffff,7637
89196baf0cfffff,9918
89196baa99bffff,4420
89196bade33ffff,8171
89196ba9e77ffff,2968
89196b8713bffff,5341
89196b86e37ffff,5919
89196b94577ffff,1022
89196b306b3ffff,5514
8919694ea6bffff,9409
89196ba1c37ffff,183
89196bae2cbffff,3053
89196bb5bc3ffff,8032
8919694190bffff,7978
89196940343ffff,4814
89196baa46bffff,7827
891fa4961c3ffff,4397
89196ba6963ffff,4674
89196bb986fffff,2563
891fa492d2fffff,3749
89196b85ad7ffff,5195
8919694c0abffff,4854
89196979ea7ffff,978
89196bb5d5bffff,6425
89196ba022fffff,6373
89196bb610fffff,7609
89196bbb527ffff,9295
89196bb8613ffff,7146
89196ba844fffff,7517
89196ba3077ffff,5325
89196941ea7ffff,5031
89196ba1e93ffff,2272
89196ba950fffff,7236
89196ba19cbffff,3410
8919694ea2fffff,4082
8919694da37ffff,2548
89196ba0e7bffff,502
89196ba9a7bffff,8724
89196948153ffff,8747
89196bac047ffff,1033
89196b94c3bffff,3589
89196ba2683ffff,7570
89196ba63b3ffff,4597
89196ba8113ffff,8710
89196b94307ffff,9204
89196b16843ffff,7436
8919697b02bffff,8880
8919694e10bffff,4534
8919694c243ffff,3648
89196bb1223ffff,122
89196b84d97ffff,391
89196b940b3ffff,328
89196bb63afffff,6330
89196bacda7ffff,3532
89196b3b497ffff,1942
89196bac1d7ffff,4514
89196b9402bffff,6409
89196b87193ffff,3103
8919696b343ffff,2834
89196baf53bffff,7428
8919694d603ffff,8698
89196bb4bb7ffff,3179
8919697884bffff,8372
8919694914bffff,2573
89196969cd7ffff,2099
89196b862cbffff,4764
8919694528bffff,1343
89196bb325bffff,6597
89196b15c87ffff,9076
89196940e8fffff,9254
8919696a0d3ffff,8640
89196941083ffff,7709
89196945217ffff,2691
8919694ed53ffff,4926
89196b85973ffff,3567
89196bb6267ffff,1102
89196bba5c7ffff,6045
89196bb9a07ffff,5121
89196bac027ffff,6722
89196ba8dd3ffff,8393
89196bb8ab3ffff,2225
8919694a40fffff,5862
89196940c0bffff,5876
8919697923bffff,27
8919696b6cfffff,8653
89196bacccfffff,8652
89196bb8b6fffff,7040
89196bb4473ffff,8624
89196979d2fffff,5503
89196ba04c3ffff,9913
89196bb712bffff,6646
89196ba751bffff,7009
89196bad5afffff,8199
89196b1462bffff,3356
89196bb5533ffff,553
89196ba8db7ffff,484
89196960563ffff,4739
89196ba2e2fffff,5530
89196bb429bffff,4815
89196940b43ffff,3269
89196ba596fffff,5115
89196b1439bffff,3487
8919694524bffff,4629
89196bba5dbffff,4578
8919694d40fffff,9964
8919697ab53ffff,3774
89196bb6057ffff,4429
89196979547ffff,1120
89196ba1d57ffff,4830
8919694c1bbffff,9072
89196b9607bffff,3302
89196948b07ffff,5483
89196b048d3ffff,4443
8919696a06fffff,7759
89196b868abffff,4240
89196b068dbffff,109
8919694da4bffff,6859
89196b14943ffff,8255
89196bad157ffff,4337
89196941053ffff,410
89196ba999bffff,1639
89196ba9997ffff,8031
89196bba877ffff,9280
89196b162bbffff,5940
89196bb5857ffff,1116
89196ba21cbffff,9458
89196bb3593ffff,3764
89196ba5b1bffff,8368
89196961607ffff,7848
89196ba0577ffff,1733
89196949b87ffff,4256
89196ba5157ffff,9963
89196bb4ecfffff,495
89196ba664bffff,3723
8919694da03ffff,844
89196bac5bbffff,6569
891fa492693ffff,403
89196ba70c3ffff,2601
89196baf587ffff,2809
89196ba640bffff,7617
89196bb1b23ffff,4021
89196941397ffff,6042
8919694cc6bffff,7614
89196960507ffff,1087
89196bb05c3ffff,7305
89196baf527ffff,5883
89196b14bafffff,1672
89196bb9b27ffff,3786
8919697b48bffff,7143
8919694c3b3ffff,9660
89196ba1663ffff,4235
89196963627ffff,2122
89196ba41cbffff,75
89196ba326fffff,3871
8919696869bffff,1087
89196978bc3ffff,3857
89196949833ffff,6524
89196ba9bb7ffff,1654
89196b32377ffff,9901
8919694ec0bffff,8070
89196bacc0bffff,1280
89196b96807ffff,8285
89196bb6123ffff,5446
8919694dc33ffff,2196
89196baf68bffff,1214
89196bb4e97ffff,492
89196949c93ffff,3317
891969780b3ffff,7147
89196bb4b83ffff,1452
89196b84177ffff,7569
89196bba9b7ffff,9500
8919694b337ffff,3277
89196969903ffff,9652
8919694b19bffff,7354
89196ba93dbffff,4358
8919694c87bffff,9874
89196b334cfffff,2302
89196b1608fffff,8933
89196ba2e03ffff,8577
8919694a56bffff,6190
89196bb99c3ffff,8319
89196bba467ffff,5181
89196bae437ffff,6183
89196bb6c73ffff,2970
89196b06813ffff,1032
8919696a5d3ffff,3161
89196ba4557ffff,1796
89196bb5d6bffff,1525
89196b365d3ffff,5227
89196bae973ffff,4905
89196ba932fffff,4060
89196b8719bffff,8701
89196ba7317ffff,6075
89196bac057ffff,1376
89196969233ffff,4440
89196ba193bffff,1392
89196b05d07ffff,8617
89196b96a23ffff,359
8919694db23ffff,7250
89196ba7393ffff,9543
89196bb09bbffff,9074
89196ba2bafffff,7632
89196ba9477ffff,6110
89196ba6a8bffff,2111
8919697863bffff,179
8919694dc4bffff,7566
89196bb6553ffff,4742
8919682cbc7ffff,4463
89196b941bbffff,6001
89196941a07ffff,2505
89196949a33ffff,2795
89196bb19cbffff,3678
89196ba23dbffff,5098
89196949397ffff,1286
8919696aa43ffff,5494
8919696954fffff,9923
8919694ee0fffff,3675
89196978547ffff,1565
89196b14607ffff,3271
89196bbb633ffff,1262
89196b85d2fffff,174
89196bb039bffff,4264
89196ba9c23ffff,6183
89196ba98b3ffff,2893
8919694d1b7ffff,9891
89196b8659bffff,3067
891969686a3ffff,1056
891969415dbffff,2695
89196b32a73ffff,4100
89196baab37ffff,2055
89196bae20bffff,5310
89196961563ffff,6071
89196ba3233ffff,706
89196ba7497ffff,7007
89196bb9a13ffff,3616
89196ba941bffff,9055
891fa4935afffff,5417
891969685cbffff,8992
89196bb814fffff,2239
89196baa2c3ffff,1628
89196b14eafffff,7564
89196bb1083ffff,5814
89196b96357ffff,4954
89196bb0647ffff,187
89196bb15dbffff,2573
89196bb8243ffff,2118
8919697996bffff,9170
89196ba9d27ffff,4766
8919695936fffff,2976
89196b321bbffff,9444
89196ba20b7ffff,8820
89196941cb7ffff,6952
89196bba1cfffff,658
89196bb1c1bffff,7764
8919694c547ffff,5189
89196bb6a67ffff,3613
89196bb9e2bffff,7510
89196ba42cbffff,6289
8919696a67bffff,5040
89196ba0b23ffff,5460
89196bb4473ffff,4405
89196b9612bffff,67
89196958a63ffff,2679
89196bb5157ffff,1674
89196baaec7ffff,9542
89196bac6abffff,3424
8919682ca07ffff,3639
89196bb6c67ffff,7817
891969610b3ffff,227
89196ba5843ffff,2628
89196b84463ffff,7920
8919694a2a7ffff,764
89196949d67ffff,2019
8919694da07ffff,4218
89196bac5d3ffff,9650
89196ba51c3ffff,6877
8919694d31bffff,7382
89196bb0cd3ffff,5057
89196949373ffff,9351
89196baeaafffff,364
89196ba2ab7ffff,7105
89196bba577ffff,5415
891969414dbffff,4825
89196b323d3ffff,3095
89196bad9c7ffff,1651
89196b8718bffff,2067
89196ba190fffff,9848
89196ba9a23ffff,9710
89196bb13cfffff,543
89196bb0c0bffff,7651
89196ba5c73ffff,2716
89196949357ffff,9724
89196b94417ffff,33
89196bac213ffff,8481
8919697a963ffff,571
89196b3242fffff,7810
89196969477ffff,8401
8919694a3cbffff,898
89196bb696fffff,3917
8919694ec47ffff,4264
891fa49666fffff,5518
89196bb849bffff,8847
891969616dbffff,644
8919696a4a7ffff,8306
8919694a267ffff,8969
89196b84d1bffff,5923
89196bb1647ffff,284
89196979d9bffff,3182
8919694c587ffff,424
89196bba50fffff,1296
89196baa86bffff,1946
89196b94e63ffff,1842
89196b86bcfffff,5409
89196bb9a63ffff,575
89196b3042fffff,4042
89196b3281bffff,2901
8919694566fffff,1520
89196ba11d3ffff,8860
89196949217ffff,8606
89196b96ecbffff,9905
89196b05e33ffff,6943
89196961163ffff,4434
89196b05d93ffff,146
89196bb838bffff,1685
89196b3665bffff,9743
89196b86cb3ffff,1307
89196b3047bffff,3499
89196b96a2bffff,3103
89196ba0d43ffff,7118
89196979313ffff,9975
89196949a27ffff,6251
89196bb337bffff,1327
89196948153ffff,7536
89196ba16b7ffff,7597
89196b16edbffff,4630
89196bb011bffff,857
89196ba696bffff,8253
89196b06cb3ffff,3322
89196b86597ffff,3595
8919694b027ffff,4809
89196baae9bffff,1263
89196bb84c3ffff,5966
89196959a23ffff,60
89196b1427bffff,8906
89196b0480bffff,3054
89196bac38fffff,6448
8919696b6abffff,3614
89196b966b7ffff,6797
8919694907bffff,3243
8919694518bffff,7907
89196b04c9bffff,6683
8919697b3d7ffff,8926
8919696141bffff,2172
8919696a603ffff,2867
891969794c3ffff,8512
891fa493093ffff,6510
89196949c4fffff,6538
89196b863d7ffff,3364
8919694190bffff,1647
89196b32d43ffff,9530
89196bae6d3ffff,1723
89196b15c03ffff,7902
8919694e213ffff,4238
89196bad893ffff,9877
89196958963ffff,8919
89196b16bb3ffff,31
89196b3640fffff,520
89196ba5993ffff,9083
89196bb05c7ffff,5295
8919696aa43ffff,7107
89196ba8bc7ffff,2472
89196ba9077ffff,2409
89196b04e77ffff,2645
89196bae407ffff,4621
89196b04db3ffff,4529
89196bb8317ffff,8045
89196b940a3ffff,1598
89196960673ffff,9142
89196bad483ffff,9008
8919696a1d7ffff,1980
8919696b683ffff,4992
89196bb944fffff,9246
8919694f1c7ffff,5220
89196baea13ffff,2642
89196bb1a2bffff,7761
89196ba8b2fffff,4897
89196b15d03ffff,4442
891fa49647bffff,4964
89196941157ffff,5851
8919694a5b7ffff,4808
8919697a983ffff,5117
89196b3346fffff,6390
8919696820bffff,8785
89196979d0fffff,7450
89196bace3bffff,5022
89196bb1aa7ffff,6703
89196bb2423ffff,5074
89196bb4b17ffff,2299
89196949acfffff,2326
89196bb027bffff,9859
89196bacd5bffff,6841
89196baa9a7ffff,6670
89196bba667ffff,1965
89196bb5d37ffff,5652
89196ba4403ffff,1756
89196bad543ffff,1147
89196b32313ffff,2801
8919696b64bffff,9942
8919697aa47ffff,7457
89196bbabbbffff,1548
89196ba12afffff,3496
89196959b97ffff,9727
89196bb29cbffff,6975
891969482dbffff,3025
89196ba3447ffff,1835
89196bb8d23ffff,6558
891969456dbffff,936
89196bb4e73ffff,4995
89196ba86b7ffff,3434
89196b86567ffff,7639
89196bb8183ffff,7160
89196bb980fffff,7326
89196949eb7ffff,7378
89196bb4523ffff,8601
89196978eb3ffff,3868
89196969b73ffff,5704
89196ba5ad7ffff,1166
89196bb69c3ffff,5104
89196b0e967ffff,4034
89196ba0b4fffff,8130
89196b041cbffff,1923
89196941ad3ffff,9809
89196bb703bffff,7265
89196b84ad3ffff,3828
89196ba4577ffff,1805
89196968a53ffff,3314
89196b85dbbffff,5762
89196ba4923ffff,3335
89196ba4107ffff,20
